t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right
0.01999999,0,0,0,0,0,5,0,0,0,0
0.03999999,0,0,0.09999996,0,0,5,0,0,0,0
0.05999998,0,0,0.1999999,0,0,5,0,0,0,0
0.07999997,0,0,0.2999999,0,0,5,0,0,0,0
0.09999996,0,0,0.3999999,0,0,5,0,0,0,0
0.12,0,0,0.4999998,0,0,5,0,0,0.04999982,24.99991
0.1399999,0,0,0.5749999,0,0,3.750005,0,0,0.1249999,62.49996
0.1599999,0,0,0.5875001,0,0,0.6250083,0,0,0.1375001,68.75005
0.1799999,0,0,0.5312502,0,0,-2.812493,0,0,0.08125024,40.62512
0.1999999,0,0,0.4343753,0,0,-4.843748,0,0,0,0
0.2199999,0,0,0.3375004,0,0,-4.843748,0,0,0,0
0.2399999,0,0,0.2406255,0,0,-4.843748,0,0,0,0
0.2599999,0,0,0.1437505,0,0,-4.843748,0,0,0,0
0.2799999,0,0,0.04687563,0,0,-4.843748,0,0,0,0
0.2999999,0,0,-0.0499993,0,0,-4.843748,0,0,0,0
0.3199999,0,0,-0.1468742,0,0,-4.843748,0,0,0,0
0.3399999,0,0,-0.2437491,0,0,-4.843748,0,0,0,0
0.3599999,0,0,-0.3406241,0,0,-4.843748,0,0,0,0
0.3799999,0,0,-0.437499,0,0,-4.843748,0,0,0,0
0.3999999,0,0,-0.5343739,0,0,-4.843748,0.08437388,42.18694,0,0
0.4199999,0,0,-0.5890619,0,0,-2.734402,0.1390619,69.53096,0,0
0.4399998,0,0,-0.574219,0,0,0.7421446,0.124219,62.10952,0,0
0.4599999,0,0,-0.4972667,0,0,3.84762,0.04726668,23.63334,0,0
0.4799998,0,0,-0.396681,0,0,5.029286,0,0,0,0
0.4999998,0,0,-0.2960953,0,0,5.029286,0,0,0,0
0.5199998,0,0,-0.1955097,0,0,5.029286,0,0,0,0
0.5399998,0,0,-0.094924,0,0,5.029286,0,0,0,0
0.5599998,0,0,0.005661681,0,0,5.029286,0,0,0,0
0.5799998,0,0,0.1062474,0,0,5.029286,0,0,0,0
0.5999998,0,0,0.206833,0,0,5.029286,0,0,0,0
0.6199998,0,0,0.3074187,0,0,5.029286,0,0,0,0
0.6399998,0,0,0.4080044,0,0,5.029286,0,0,0,0
0.6599998,0,0,0.50859,0,0,5.029286,0,0,0.05859004,29.29502
0.6799998,0,0,0.5798807,0,0,3.564536,0,0,0.1298807,64.94035
0.6999997,0,0,0.5862311,0,0,0.3175192,0,0,0.1362311,68.11555
0.7199997,0,0,0.524466,0,0,-3.088257,0,0,0.07446598,37.23299
0.7399998,0,0,0.4254679,0,0,-4.949905,0,0,0,0
0.7599998,0,0,0.3264698,0,0,-4.949905,0,0,0,0
0.7799997,0,0,0.2274718,0,0,-4.949905,0,0,0,0
0.7999997,0,0,0.1284737,0,0,-4.949905,0,0,0,0
0.8199997,0,0,0.02947563,0,0,-4.949905,0,0,0,0
0.8399997,0,0,-0.06952244,0,0,-4.949905,0,0,0,0
