t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,angularVelocity_y, inertia_y
1.150784,-0.25,0,0.09999996,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.170784,-0.25,0,0.07999997,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.190784,-0.25,0,0.05999998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.210785,-0.25,0,0.03999998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.230783,-0.25,0,0.01999999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.250784,-0.25,0,0,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.270784,-0.25,0,-0.01999999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.290785,-0.25,0,-0.03999998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.310783,-0.25,0,-0.05999998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.330784,-0.25,0,-0.07999997,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.350784,-0.25,0,-0.09999996,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.370785,-0.25,0,-0.12,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.390783,-0.25,0,-0.14,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.410784,-0.25,0,-0.16,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.430784,-0.25,0,-0.1799999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.450785,-0.25,0,-0.1999999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.470783,-0.25,0,-0.2199999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.490784,-0.25,0,-0.2399999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.510784,-0.25,0,-0.2599999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.530785,-0.25,0,-0.2799999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.550783,-0.25,0,-0.2999999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.570784,-0.25,0,-0.3199999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.590784,-0.25,0,-0.3399999,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.610785,-0.25,0,-0.3599998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.630785,-0.25,0,-0.3799998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.650784,-0.25,0,-0.3999998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.670784,-0.25,0,-0.4199998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.690784,-0.25,0,-0.4399998,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.710785,-0.25,0,-0.4599997,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.730783,-0.25,0,-0.4799997,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.750784,-0.25,0,-0.4999997,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.770784,-0.25,0,-0.5199997,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.790785,-0.25,0,-0.5399997,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.810783,-0.25,0,-0.5599996,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.830784,-0.25,0,-0.5799996,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.850784,-0.25,0,-0.5999996,0,0,-1,0,0,0,0,-0.8,0,0, 0.0634
1.870785,-0.2511798,0,-0.6095505,-0.05897669,0,-0.4776299,0,0,0,0,-0.8041797,-0.208948,-0.1089716, 0.0634
1.890783,-0.2527913,0,-0.6173607,-0.08056299,0,-0.3905065,0,0,0,0,-0.8090556,-0.2437974,-0.5798055, 0.0634
1.910784,-0.2543688,0,-0.6251771,-0.07939476,0,-0.3909164,0,0,0,0,-0.813929,-0.2436334,-0.5800093, 0.0634
1.930784,-0.2559203,0,-0.6330225,-0.0780221,0,-0.3919496,0,0,0,0,-0.8187909,-0.2432202,-0.5799859, 0.0634
1.950785,-0.257447,0,-0.6408858,-0.07678434,0,-0.3928467,0,0,0,0,-0.8236455,-0.2428613,-0.5799783, 0.0634
1.970783,-0.2589487,0,-0.6487665,-0.07553571,0,-0.3937282,0,0,0,0,-0.8284932,-0.2425087,-0.5799724, 0.0634
1.990784,-0.2604252,0,-0.6566646,-0.07427791,0,-0.3945967,0,0,0,0,-0.833334,-0.2421613,-0.5799643, 0.0634
2.010784,-0.2618761,0,-0.6645795,-0.07300815,0,-0.3954493,0,0,0,0,-0.838168,-0.2418203,-0.5799589, 0.0634
2.030785,-0.2633015,0,-0.6725111,-0.07173061,0,-0.3962874,0,0,0,0,-0.8429954,-0.241485,-0.5799517, 0.0634
2.050783,-0.264701,0,-0.6804591,-0.0704409,0,-0.3971122,0,0,0,0,-0.8478162,-0.2411551,-0.5799446, 0.0634
2.070784,-0.2660746,0,-0.6884232,-0.06914473,0,-0.3979184,0,0,0,0,-0.8526306,-0.2408326,-0.5799394, 0.0634
2.090784,-0.2674219,0,-0.696403,-0.06783726,0,-0.3987118,0,0,0,0,-0.8574386,-0.2405152,-0.5799329, 0.0634
2.110785,-0.2687427,0,-0.7043982,-0.06652095,0,-0.3994898,0,0,0,0,-0.8622405,-0.240204,-0.5799266, 0.0634
2.130783,-0.2700371,0,-0.7124085,-0.06519779,0,-0.4002504,0,0,0,0,-0.8670363,-0.2398998,-0.5799212, 0.0634
2.150784,-0.2713048,0,-0.7204338,-0.06386286,0,-0.4009995,0,0,0,0,-0.8718262,-0.2396002,-0.5799133, 0.0634
2.170784,-0.2725455,0,-0.7284734,-0.06252171,0,-0.4017297,0,0,0,0,-0.8766103,-0.2393081,-0.5799078, 0.0634
2.190784,-0.2737592,0,-0.7365273,-0.06117122,0,-0.4024458,0,0,0,0,-0.8813888,-0.2390217,-0.5799012, 0.0634
2.210783,-0.2749457,0,-0.7445951,-0.0598123,0,-0.4031462,0,0,0,0,-0.8861617,-0.2387415,-0.5798946, 0.0634
2.230783,-0.2761046,0,-0.7526766,-0.0584439,0,-0.4038332,0,0,0,0,-0.8909291,-0.2384667,-0.579886, 0.0634
2.250784,-0.2772362,0,-0.7607712,-0.05707234,0,-0.4044995,0,0,0,0,-0.8956913,-0.2382002,-0.5798805, 0.0634
2.270784,-0.27834,0,-0.7688788,-0.05568838,0,-0.4051532,0,0,0,0,-0.9004482,-0.2379387,-0.5798736, 0.0634
2.290783,-0.2794159,0,-0.7769991,-0.05429863,0,-0.4057896,0,0,0,0,-0.9052001,-0.2376841,-0.5798672, 0.0634
2.310783,-0.2804639,0,-0.7851315,-0.05290295,0,-0.4064091,0,0,0,0,-0.9099472,-0.2374364,-0.579861, 0.0634
2.330784,-0.2814839,0,-0.793276,-0.05149932,0,-0.4070138,0,0,0,0,-0.9146894,-0.2371944,-0.5798534, 0.0634
