t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
0.01999999,0,0,0,0,0,1,0,0,0,0,-0.8,0
0.03999998,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0
0.05999998,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0
0.07999997,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0
0.09999996,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0
0.12,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0
0.14,0,0,0.12,0,0,1,0,0,0,0,-0.8,0
0.1599999,0,0,0.14,0,0,1,0,0,0,0,-0.8,0
0.1799999,0,0,0.16,0,0,1,0,0,0,0,-0.8,0
0.1999999,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0
0.2199999,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0
0.2399999,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0
0.2599999,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0
0.2799999,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0
0.2999999,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0
0.3199999,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0
0.3399999,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0
0.3599999,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0
0.3799999,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0
0.3999999,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0
0.4199998,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0
0.4399998,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0
0.4599998,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0
0.4799998,0,0,0.4599997,0,0,1,0,0,0.009999737,0.1999947,-0.8,0
0.4999998,0,0,0.4797997,0,0,0.9900002,0,0,0.02979974,0.5959949,-0.8,0
0.5199998,0,0,0.4990037,0,0,0.9602005,0,0,0.04900374,0.9800747,-0.8,0
0.5399998,0,0,0.5172276,0,0,0.9111968,0,0,0.06722765,1.344553,-0.8,0
0.5599998,0,0,0.534107,0,0,0.8439692,0,0,0.08410703,1.682141,-0.8,0
0.5799998,0,0,0.5493042,0,0,0.7598622,0,0,0.09930424,1.986085,-0.8,0
0.5999998,0,0,0.5625154,0,0,0.660558,0,0,0.1125154,2.250308,-0.8,0
0.6199998,0,0,0.5734763,0,0,0.5480427,0,0,0.1234763,2.469525,-0.8,0
0.6399997,0,0,0.5819676,0,0,0.4245664,0,0,0.1319676,2.639352,-0.8,0
0.6599998,0,0,0.5878196,0,0,0.2925989,0,0,0.1378196,2.756392,-0.8,0
0.6799998,0,0,0.5909151,0,0,0.1547794,0,0,0.1409151,2.818303,-0.8,0
0.6999997,0,0,0.5911924,0,0,0.01386428,0,0,0.1411924,2.823848,-0.8,0
0.7199997,0,0,0.5886459,0,0,-0.1273281,0,0,0.1386459,2.772918,-0.8,0
0.7399997,0,0,0.5833264,0,0,-0.2659739,0,0,0.1333264,2.666528,-0.8,0
0.7599998,0,0,0.5753404,0,0,-0.3993003,0,0,0.1253404,2.506808,-0.8,0
0.7799997,0,0,0.5648476,0,0,-0.5246406,0,0,0.1148476,2.296952,-0.8,0
0.7999997,0,0,0.5520578,0,0,-0.6394882,0,0,0.1020578,2.041156,-0.8,0
0.8199997,0,0,0.5372269,0,0,-0.7415459,0,0,0.08722691,1.744538,-0.8,0
0.8399997,0,0,0.5206515,0,0,-0.8287728,0,0,0.07065146,1.413029,-0.8,0
0.8599997,0,0,0.502663,0,0,-0.8994242,0,0,0.05266295,1.053259,-0.8,0
0.8799997,0,0,0.4836212,0,0,-0.9520871,0,0,0.03362121,0.6724241,-0.8,0
0.8999997,0,0,0.4639071,0,0,-0.9857083,0,0,0.01390706,0.2781412,-0.8,0
0.9199997,0,0,0.4439148,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9399996,0,0,0.4239225,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9599997,0,0,0.4039302,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9799997,0,0,0.3839379,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9999996,0,0,0.3639456,0,0,-0.9996154,0,0,0,0,-0.8,0
