t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total,,kinE_wagen,kinE_bumper,kinE_total
0.5599998,0,0,0.534107,0,0,0.8439692,0,0,0.08410703,-1.682141,-0.8,0,,0.33758768,0,0.33758768,,0.142456802,0,0.142456802
0.5799998,0,0,0.5493042,0,0,0.7598622,0,0,0.09930424,-1.986085,-0.8,0,,0.30394488,0,0.30394488,,0.115478113,0,0.115478113
0.5999998,0,0,0.5625154,0,0,0.660558,0,0,0.1125154,-2.250308,-0.8,0,,0.2642232,0,0.2642232,,0.087267374,0,0.087267374
0.6199998,0,0,0.5734763,0,0,0.5480427,0,0,0.1234763,-2.469525,-0.8,0,,0.21921708,0,0.21921708,,0.06007016,0,0.06007016
0.6399997,0,0,0.5819676,0,0,0.4245664,0,0,0.1319676,-2.639352,-0.8,0,,0.16982656,0,0.16982656,,0.036051326,0,0.036051326
0.6599998,0,0,0.5878196,0,0,0.2925989,0,0,0.1378196,-2.756392,-0.8,0,,0.11703956,0,0.11703956,,0.017122823,0,0.017122823
0.6799998,0,0,0.5909151,0,0,0.1547794,0,0,0.1409151,-2.818303,-0.8,0,,0.06191176,0,0.06191176,,0.004791333,0,0.004791333
0.6999997,0,0,0.5911924,0,0,0.01386428,0,0,0.1411924,-2.823848,-0.8,0,,0.005545712,0,0.005545712,,3.84437E-05,0,3.84437E-05
0.7199997,0,0,0.5886459,0,0,-0.1273281,0,0,0.1386459,-2.772918,-0.8,0,,-0.05093124,0,-0.05093124,,0.003242489,0,0.003242489
0.7399997,0,0,0.5833264,0,0,-0.2659739,0,0,0.1333264,-2.666528,-0.8,0,,-0.10638956,0,-0.10638956,,0.014148423,0,0.014148423
0.7599998,0,0,0.5753404,0,0,-0.3993003,0,0,0.1253404,-2.506808,-0.8,0,,-0.15972012,0,-0.15972012,,0.031888146,0,0.031888146
0.7799997,0,0,0.5648476,0,0,-0.5246406,0,0,0.1148476,-2.296952,-0.8,0,,-0.20985624,0,-0.20985624,,0.055049552,0,0.055049552
0.7999997,0,0,0.5520578,0,0,-0.6394882,0,0,0.1020578,-2.041156,-0.8,0,,-0.25579528,0,-0.25579528,,0.081789032,0,0.081789032
0.8199997,0,0,0.5372269,0,0,-0.7415459,0,0,0.08722691,-1.744538,-0.8,0,,-0.29661836,0,-0.29661836,,0.109978064,0,0.109978064
0.8399997,0,0,0.5206515,0,0,-0.8287728,0,0,0.07065146,-1.413029,-0.8,0,,-0.33150912,0,-0.33150912,,0.137372871,0,0.137372871
0.8599997,0,0,0.502663,0,0,-0.8994242,0,0,0.05266295,-1.053259,-0.8,0,,-0.35976968,0,-0.35976968,,0.161792778,0,0.161792778
