t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,v' ,,E_kin_wagen,E_kin_bumper,E_gesamt,,p_wagen,p_bumper,p_gesamt
0.01999999,0,0,0,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.03999998,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.05999998,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.07999997,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.09999996,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.12,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.14,0,0,0.12,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.1599999,0,0,0.14,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.1799999,0,0,0.16,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.1999999,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.2199999,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.2399999,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.2599999,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.2799999,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.2999999,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.3199999,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.3399999,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.3599999,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.3799999,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.3999999,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.4199998,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.4399998,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.4599998,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.4799998,0,0,0.4599997,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.4999998,0,0,0.4799997,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.5199998,0,0,0.4999997,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.5399998,0,0,0.5199997,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.5599998,0,0,0.5399997,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.5799998,0,0,0.5599996,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.5999998,0,0,0.5799996,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.6199998,0,0,0.5999996,0,0,1,0,0,0,0,-0.8,0,,0.285714286,,0.2,0,0.2,,0.4,0,0.4
0.6399997,0,0,0.6199996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.6599998,0,0,0.5999996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.6799998,0,0,0.5799996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.6999997,0,0,0.5599996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.7199997,0,0,0.5399997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.7399997,0,0,0.5199997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.7599998,0,0,0.4999997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.7799997,0,0,0.4799997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.7999997,0,0,0.4599997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.8199997,0,0,0.4399998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.8399997,0,0,0.4199998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.8599997,0,0,0.3999998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.8799997,0,0,0.3799998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.8999997,0,0,0.3599998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.9199997,0,0,0.3399999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.9399996,0,0,0.3199999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.9599997,0,0,0.2999999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.9799997,0,0,0.2799999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
0.9999996,0,0,0.2599999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.02,0,0,0.2399999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.04,0,0,0.2199999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.06,0,0,0.1999999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.08,0,0,0.1799999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.1,0,0,0.16,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.12,0,0,0.14,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.14,0,0,0.12,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.16,0,0,0.09999996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.18,0,0,0.07999997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.2,0,0,0.05999998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.22,0,0,0.03999998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.24,0,0,0.01999999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.26,0,0,0,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.279999,0,0,-0.01999999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.3,0,0,-0.03999998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.32,0,0,-0.05999998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.34,0,0,-0.07999997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.36,0,0,-0.09999996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.38,0,0,-0.12,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.399999,0,0,-0.14,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.419999,0,0,-0.16,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.439999,0,0,-0.1799999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.459999,0,0,-0.1999999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.479999,0,0,-0.2199999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.5,0,0,-0.2399999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.52,0,0,-0.2599999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.539999,0,0,-0.2799999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.559999,0,0,-0.2999999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.579999,0,0,-0.3199999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.599999,0,0,-0.3399999,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.619999,0,0,-0.3599998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.639999,0,0,-0.3799998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.659999,0,0,-0.3999998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.679999,0,0,-0.4199998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.699999,0,0,-0.4399998,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.719999,0,0,-0.4599997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.739999,0,0,-0.4799997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.759999,0,0,-0.4999997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.779999,0,0,-0.5199997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.799999,0,0,-0.5399997,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.819999,0,0,-0.5599996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.839999,0,0,-0.5799996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.859999,0,0,-0.5999996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.879999,0,0,-0.6199996,0,0,-1,0,0,0,0,-0.8,0,,-0.285714286,,0.2,0,0.2,,-0.4,0,-0.4
1.899999,0,0,-0.6257139,0,0,-0.2857143,0,0,0,0,-0.8057143,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
1.919999,0,0,-0.6314282,0,0,-0.2857143,0,0,0,0,-0.8114286,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
1.939999,0,0,-0.6371425,0,0,-0.2857143,0,0,0,0,-0.8171429,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
1.959999,0,0,-0.6428568,0,0,-0.2857143,0,0,0,0,-0.8228572,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
1.979999,0,0,-0.6485711,0,0,-0.2857143,0,0,0,0,-0.8285715,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
1.999999,0,0,-0.6542854,0,0,-0.2857143,0,0,0,0,-0.8342858,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.019999,0,0,-0.6599997,0,0,-0.2857143,0,0,0,0,-0.8400001,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.039999,0,0,-0.665714,0,0,-0.2857143,0,0,0,0,-0.8457144,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.059999,0,0,-0.6714283,0,0,-0.2857143,0,0,0,0,-0.8514287,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.079999,0,0,-0.6771426,0,0,-0.2857143,0,0,0,0,-0.857143,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.099999,0,0,-0.6828569,0,0,-0.2857143,0,0,0,0,-0.8628573,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.119999,0,0,-0.6885712,0,0,-0.2857143,0,0,0,0,-0.8685716,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.139999,0,0,-0.6942855,0,0,-0.2857143,0,0,0,0,-0.8742859,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.159999,0,0,-0.6999997,0,0,-0.2857143,0,0,0,0,-0.8800002,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.179999,0,0,-0.705714,0,0,-0.2857143,0,0,0,0,-0.8857145,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.199999,0,0,-0.7114283,0,0,-0.2857143,0,0,0,0,-0.8914288,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.219999,0,0,-0.7171426,0,0,-0.2857143,0,0,0,0,-0.8971431,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.239999,0,0,-0.7228569,0,0,-0.2857143,0,0,0,0,-0.9028574,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
2.259999,0,0,-0.7285712,0,0,-0.2857143,0,0,0,0,-0.9085717,-0.2857143,,-0.2857143,,0.016326532,0.040816331,0.057142863,,-0.11428572,-0.2857143,-0.40000002
