t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total,p_total_abs,,E_kin_wagen,E_kin_bumper,,E_gesamt
1.32,0,0,-0.05999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.34,0,0,-0.07999997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.36,0,0,-0.09999996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.38,0,0,-0.12,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.399999,0,0,-0.14,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.419999,0,0,-0.16,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.439999,0,0,-0.1799999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.459999,0,0,-0.1999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.479999,0,0,-0.2199999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.5,0,0,-0.2399999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.52,0,0,-0.2599999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.539999,0,0,-0.2799999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.559999,0,0,-0.2999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.579999,0,0,-0.3199999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.599999,0,0,-0.3399999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.619999,0,0,-0.3599998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.639999,0,0,-0.3799998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.659999,0,0,-0.3999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.679999,0,0,-0.4199998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.699999,0,0,-0.4399998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.719999,0,0,-0.4599997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.739999,0,0,-0.4799997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.759999,0,0,-0.4999997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.779999,0,0,-0.5199997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.799999,0,0,-0.5399997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.819999,0,0,-0.5599996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.839999,0,0,-0.5799996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.859999,0,0,-0.5999996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4,0.4,,0.2,0,,0.2
1.879999,0,0,-0.6199996,0,0,0.4285714,0,0,0,0,-0.8,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
1.899999,0,0,-0.6114281,0,0,0.4285714,0,0,0,0,-0.8114286,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
1.919999,0,0,-0.6028567,0,0,0.4285714,0,0,0,0,-0.8228572,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
1.939999,0,0,-0.5942852,0,0,0.4285714,0,0,0,0,-0.8342858,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
1.959999,0,0,-0.5857138,0,0,0.4285714,0,0,0,0,-0.8457144,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
1.979999,0,0,-0.5771424,0,0,0.4285714,0,0,0,0,-0.857143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
1.999999,0,0,-0.5685709,0,0,0.4285714,0,0,0,0,-0.8685716,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.019999,0,0,-0.5599995,0,0,0.4285714,0,0,0,0,-0.8800002,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.039999,0,0,-0.551428,0,0,0.4285714,0,0,0,0,-0.8914288,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.059999,0,0,-0.5428566,0,0,0.4285714,0,0,0,0,-0.9028574,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.079999,0,0,-0.5342851,0,0,0.4285714,0,0,0,0,-0.914286,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.099999,0,0,-0.5257137,0,0,0.4285714,0,0,0,0,-0.9257146,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.119999,0,0,-0.5171422,0,0,0.4285714,0,0,0,0,-0.9371431,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.139999,0,0,-0.5085708,0,0,0.4285714,0,0,0,0,-0.9485717,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.159999,0,0,-0.4999994,0,0,0.4285714,0,0,0,0,-0.9600003,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.179999,0,0,-0.491428,0,0,0.4285714,0,0,0,0,-0.9714289,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.199999,0,0,-0.4828565,0,0,0.4285714,0,0,0,0,-0.9828575,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.219999,0,0,-0.4742851,0,0,0.4285714,0,0,0,0,-0.9942861,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.239999,0,0,-0.4657137,0,0,0.4285714,0,0,0,0,-1.005715,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.259999,0,0,-0.4571423,0,0,0.4285714,0,0,0,0,-1.017143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.279999,0,0,-0.4485709,0,0,0.4285714,0,0,0,0,-1.028572,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.299999,0,0,-0.4399995,0,0,0.4285714,0,0,0,0,-1.04,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.319999,0,0,-0.431428,0,0,0.4285714,0,0,0,0,-1.051429,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.339999,0,0,-0.4228566,0,0,0.4285714,0,0,0,0,-1.062858,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.359999,0,0,-0.4142852,0,0,0.4285714,0,0,0,0,-1.074286,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.379999,0,0,-0.4057138,0,0,0.4285714,0,0,0,0,-1.085715,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.399999,0,0,-0.3971424,0,0,0.4285714,0,0,0,0,-1.097143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.419999,0,0,-0.388571,0,0,0.4285714,0,0,0,0,-1.108572,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.439999,0,0,-0.3799995,0,0,0.4285714,0,0,0,0,-1.120001,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.459999,0,0,-0.3714281,0,0,0.4285714,0,0,0,0,-1.131429,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.479999,0,0,-0.3628567,0,0,0.4285714,0,0,0,0,-1.142858,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.499999,0,0,-0.3542853,0,0,0.4285714,0,0,0,0,-1.154286,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.519999,0,0,-0.3457139,0,0,0.4285714,0,0,0,0,-1.165715,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.539999,0,0,-0.3371425,0,0,0.4285714,0,0,0,0,-1.177144,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.559999,0,0,-0.3285711,0,0,0.4285714,0,0,0,0,-1.188572,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.579999,0,0,-0.3199996,0,0,0.4285714,0,0,0,0,-1.200001,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.599999,0,0,-0.3114282,0,0,0.4285714,0,0,0,0,-1.211429,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.619999,0,0,-0.3028568,0,0,0.4285714,0,0,0,0,-1.222858,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.639999,0,0,-0.2942854,0,0,0.4285714,0,0,0,0,-1.234287,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.659999,0,0,-0.285714,0,0,0.4285714,0,0,0,0,-1.245715,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.679999,0,0,-0.2771426,0,0,0.4285714,0,0,0,0,-1.257144,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.699999,0,0,-0.2685711,0,0,0.4285714,0,0,0,0,-1.268572,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.719999,0,0,-0.2599997,0,0,0.4285714,0,0,0,0,-1.280001,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.739999,0,0,-0.2514283,0,0,0.4285714,0,0,0,0,-1.29143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.759999,0,0,-0.2428569,0,0,0.4285714,0,0,0,0,-1.302858,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.779999,0,0,-0.2342854,0,0,0.4285714,0,0,0,0,-1.314287,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.799999,0,0,-0.225714,0,0,0.4285714,0,0,0,0,-1.325715,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.819999,0,0,-0.2171426,0,0,0.4285714,0,0,0,0,-1.337144,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.839999,0,0,-0.2085712,0,0,0.4285714,0,0,0,0,-1.348572,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.859999,0,0,-0.1999997,0,0,0.4285714,0,0,0,0,-1.360001,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.879999,0,0,-0.1914283,0,0,0.4285714,0,0,0,0,-1.37143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.899999,0,0,-0.1828569,0,0,0.4285714,0,0,0,0,-1.382858,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.919999,0,0,-0.1742854,0,0,0.4285714,0,0,0,0,-1.394287,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.939999,0,0,-0.165714,0,0,0.4285714,0,0,0,0,-1.405715,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.959999,0,0,-0.1571426,0,0,0.4285714,0,0,0,0,-1.417144,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.979999,0,0,-0.1485711,0,0,0.4285714,0,0,0,0,-1.428573,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
2.999999,0,0,-0.1399997,0,0,0.4285714,0,0,0,0,-1.440001,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.019999,0,0,-0.1314283,0,0,0.4285714,0,0,0,0,-1.45143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.039999,0,0,-0.1228568,0,0,0.4285714,0,0,0,0,-1.462858,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.059999,0,0,-0.1142854,0,0,0.4285714,0,0,0,0,-1.474287,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.079999,0,0,-0.105714,0,0,0.4285714,0,0,0,0,-1.485716,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.099999,0,0,-0.09714258,0,0,0.4285714,0,0,0,0,-1.497144,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.119999,0,0,-0.08857115,0,0,0.4285714,0,0,0,0,-1.508573,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.139999,0,0,-0.07999973,0,0,0.4285714,0,0,0,0,-1.520001,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.159999,0,0,-0.07142831,0,0,0.4285714,0,0,0,0,-1.53143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.179999,0,0,-0.06285688,0,0,0.4285714,0,0,0,0,-1.542859,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.199999,0,0,-0.05428546,0,0,0.4285714,0,0,0,0,-1.554287,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.219999,0,0,-0.04571404,0,0,0.4285714,0,0,0,0,-1.565716,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.239999,0,0,-0.03714261,0,0,0.4285714,0,0,0,0,-1.577144,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.259999,0,0,-0.02857119,0,0,0.4285714,0,0,0,0,-1.588573,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.279999,0,0,-0.01999976,0,0,0.4285714,0,0,0,0,-1.600002,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.299999,0,0,-0.01142834,0,0,0.4285714,0,0,0,0,-1.61143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.319999,0,0,-0.00285691,0,0,0.4285714,0,0,0,0,-1.622859,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.339999,0,0,0.005714515,0,0,0.4285714,0,0,0,0,-1.634287,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.359999,0,0,0.01428594,0,0,0.4285714,0,0,0,0,-1.645716,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.379999,0,0,0.02285737,0,0,0.4285714,0,0,0,0,-1.657145,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.399999,0,0,0.03142879,0,0,0.4285714,0,0,0,0,-1.668573,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.419999,0,0,0.04000022,0,0,0.4285714,0,0,0,0,-1.680002,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.439999,0,0,0.04857164,0,0,0.4285714,0,0,0,0,-1.69143,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.459999,0,0,0.05714306,0,0,0.4285714,0,0,0,0,-1.702859,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.479999,0,0,0.06571449,0,0,0.4285714,0,0,0,0,-1.714288,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
3.499999,0,0,0.07428591,0,0,0.4285714,0,0,0,0,-1.725716,-0.5714286,,0.17142856,-0.5714286,-0.40000004,0.40000004,,0.036734689,0.163265322,,0.200000011
